ID,LABEL,PROJECT,PIPELINE_NODE,SOURCE_PATH,CURRENT_DEFAULT,VALUES_RANGE,CLASS,PROMPT_EFFECT,DETERMINISTIC_EFFECT,RAG_EFFECT,CONTRACT_EFFECT,RUNTIME_MUTABLE,VERSIONED,UI_CONTROL,TRACE_FIELD,NOTES
V010,Assembly Mode,tinkuy,closing_synthesis,web_ui.py:298 + _assembly_instruction() ~1419-1446,synthesis,synthesis|verdict|dissent_forward|diagnostic|projective|roast,A,whole instruction text is Python string literal; roast branch at :1436,none,none,none,no (code),NO,select,assembly_mode,"EXTRACT_TO_PROMPT_ASSET candidate. ""Прожарка"" = roast. Highest-priority extraction."
V011,Council Span,tinkuy,cast_selection,web_ui.py:309 COUNCIL_SPANS,auto,auto|force_pair|force_triangular|force_full_council,C,none,forces cast size in persona_layer casting,none,none,yes,no,select,council_span,Deterministic casting rule.
V012,Пресет,tinkuy,model_invocation,web_ui.py:318 + data/config/models.yaml,default,registry entries,B,none,selects provider+model+params bundle,none,none,yes,no,select (API /api/presets),preset,
V013,Модель (bypass preset),tinkuy,model_invocation,web_ui.py:324 + models.yaml,from preset,registry entries,B,none,overrides model,none,none,yes,no,select (API /api/models),model,
V014,Токены голосов,tinkuy,persona_turn,web_ui.py:330,from config,128-8192 step 256,B,none,max output tokens per turn,none,none,yes,no,number,voice_max_tokens,
V015,Токены Заратустры,tinkuy,closing_synthesis,web_ui.py:334,from config,128-8192 step 256,B,none,max output tokens for closing,none,none,yes,no,number,closing_max_tokens,
V016,Max Turns,tinkuy,orchestrator,web_ui.py:338,from mode,1-24,E,none,overrides runtime.yaml max_turns,none,none,yes,no,number,max_turns,
V017,Формат ответа,tinkuy,render,web_ui.py:342,text,text|json,E,none,render path,none,changes response payload shape,yes,no,select,out_format,Borderline F: json path exposes structured contract.
V018,Детализация,tinkuy,render,web_ui.py:349,only_result,only_result|with_turns,E,none,how much of trace is rendered,none,none,yes,no,select,detail_level,
V019,Show orchestration trace,tinkuy,render,web_ui.py:356,false,true|false,E,none,exposes routing decisions,none,none,yes,no,select,show_orchestration_trace,
V020,Debug,tinkuy,render,web_ui.py:363,false,true|false,E,none,exposes internal trace,none,none,yes,no,select,debug,Interacts with output.redact_* in runtime.yaml.
V021,Workspace,tinkuy,storage,web_ui.py:380 + workspaces.py,default,^[a-z0-9_-]+$,E,none,storage/isolation namespace,none,none,yes,no,text,workspace_id,
V022,Live (SSE),tinkuy,transport,web_ui.py:384,false,true|false,E,none,SSE streaming on/off,none,none,yes,no,checkbox,—,
V023,Async,tinkuy,transport,web_ui.py:387,false,true|false,E,none,async job mode,none,none,yes,no,checkbox,—,
V024,Persona weight slider,tinkuy,router_scoring,runtime_control.py:231-236 + PersonaSliders.svelte:44,1.0,0.05-3.0 step 0.05,C,none,persona_weights in route_next scoring; ≤0.1 = mute,none,none,yes (mid-run),no,range,persona_weights,Clamped max(0.05 min(3.0 x)). Applies from next turn.
V025,Pause,tinkuy,orchestrator,runtime_control.py:220,—,event,E,none,clears run_event at checkpoint,none,none,yes (mid-run),no,button,intervention.pause,
V026,Resume,tinkuy,orchestrator,runtime_control.py:222,—,event,E,none,sets run_event,none,none,yes (mid-run),no,button,intervention.resume,
V027,Cancel,tinkuy,orchestrator,runtime_control.py:224,—,event,E,none,raises RuntimeCancelled at checkpoint,none,none,yes (mid-run),no,button,intervention.cancel,
V028,Steer (route override),tinkuy,router,runtime_control.py:228 + RouteOverridePreview.svelte,—,persona_id + operation,C,none,overrides next route_next decision,none,none,yes (mid-run),no,panel,intervention.steer,HUMAN_GATE in effect.
V029,User voice injection,tinkuy,council_turns,runtime_control.py:237 + InsertVoicePanel.svelte,—,free text + persona_hint,A,injects USER_VOICE turn into context,none,none,none,yes (mid-run),no,panel,intervention.user_voice,User text enters the prompt. Prompt-affecting HUMAN_GATE.
V030,Attach file,tinkuy,ingest/persona,runtime_control.py:239 + AttachFileButton.svelte,—,file,A,extracted text boosts a persona context,none,none,none,yes (mid-run),no,button,intervention.attach_file,
V031,min_turns,tinkuy,stopping,data/config/runtime.yaml:20,3,int,C,none,minimum council turns,none,none,no (config),no,none,—,Not exposed in any UI.
V032,min_distinct_voices,tinkuy,stopping,runtime.yaml:21,3,int,C,none,minimum distinct personas,none,none,no (config),no,none,—,Not exposed.
V033,allow_voice_repeat,tinkuy,router,runtime.yaml:22,true,bool,C,none,allows same voice again,none,none,no (config),no,none,—,Not exposed.
V034,max_consecutive_same_voice,tinkuy,router,runtime.yaml:23,1,int,C,none,consecutive repeat cap,none,none,no (config),no,none,—,Not exposed.
V035,novelty_floor,tinkuy,stopping,runtime.yaml:10/16,0.15 fast / 0.08 deep,float,C,none,novelty stop threshold,none,none,no (config),no,none,stopping_reason,Not exposed. Driven by V003.
V036,require_minority_voice,tinkuy,stopping+validate,runtime.yaml:11/17,true,bool,F,none,stop condition,none,"fail_closed: synthesis_erases_all_minority_voices",no (config),no,none,—,Contract-level invariant. Also in pipeline.yaml fail_closed.
V037,max_model_calls_per_run,tinkuy,budget,runtime.yaml:26,30,int,E,none,hard call ceiling,none,none,no (config),no,none,—,Not exposed.
V038,soft_token_ceiling,tinkuy,budget,runtime.yaml:27,40000,int,E,none,soft token ceiling,none,none,no (config),no,none,—,Not exposed.
V039,redact_hidden_prompts,tinkuy,render,runtime.yaml:30,true,bool,F,none,hides prompts from output,none,disclosure contract,no (config),no,none,—,Security-adjacent. Interacts with V020.
V040,redact_internal_traces_by_default,tinkuy,render,runtime.yaml:31,true,bool,F,none,hides traces,none,disclosure contract,no (config),no,none,—,
V041,llm_calls.fast/deep,tinkuy,orchestrator,data/pipeline/pipeline.yaml:45-53,"council_turns 5, routing up_to_4, synthesis 1","fast/deep profiles",E,none,expected call counts per stage,none,none,no (config),no,none,—,Declarative expectation not enforcement.
V042,fail_closed list,tinkuy,validate_output,pipeline.yaml:54-59,5 conditions,list,F,none,aborts run,none,"persona_registry_empty, unknown_control_authority, synthesis_erases_all_minority_voices, unbounded_repetition_loop, schema_validation_fails",no (config),no,none,—,Hard contract. Must be surfaced in Workbench as protected.
V043,chunk_size (evidence retrieval),tinkuy,rag_chunker,retrieval.py:34 _chunk_file,800,int chars,D,none,none,chunk size for evidence corpus,none,NO,no,NONE,—,Python default arg. Not exposed anywhere.
V044,overlap (evidence retrieval),tinkuy,rag_chunker,retrieval.py:34,200,int chars,D,none,none,chunk overlap,none,NO,no,NONE,—,Not exposed.
V045,top_k (evidence retrieval),tinkuy,rag_retriever,retrieval.py:58 retrieve(),3,int,D,none,none,number of chunks retrieved,none,NO,no,NONE,—,Not exposed.
V046,BM25 k1/b,tinkuy,rag_scorer,retrieval.py:85,1.5 / 0.75,float,D,none,none,BM25 ranking constants,none,NO,no,NONE,—,Hardcoded literal.
V047,chunk size (cultural RAG),tinkuy,rag_chunker,cultural_rag.py:91/106,800 / overlap 200,int,D,none,none,zarathustra primary fragment chunking,none,NO,no,NONE,—,Not exposed.
V048,top_k (cultural RAG cards),tinkuy,rag_retriever,cultural_rag.py:280 retrieve_cards(),3,int,D,none,none,card retrieval depth,none,NO,no,NONE,—,Not exposed.
V049,max_files (cultural RAG),tinkuy,rag_corpus,cultural_rag.py:106,None,int|None,D,none,none,corpus truncation,none,NO,no,NONE,—,Not exposed.
V050,DEFAULT_TARGET_CHARS,tinkuy,semantic_chunker,adapters/text_chunker.py:26,2000,int,D,none,segmentation target,semantic unit size,none,NO,no,NONE,—,auto-slice path. Not exposed.
V051,DEFAULT_MAX_CHARS,tinkuy,semantic_chunker,text_chunker.py:27,4000,int,D,none,hard split ceiling,none,none,NO,no,NONE,—,
V052,DEFAULT_MIN_CHARS,tinkuy,semantic_chunker,text_chunker.py:28,300,int,D,none,minimum chunk filter,none,none,NO,no,NONE,—,
V053,persona system_prompt,tinkuy,persona,data/personas/LENS_*/system_prompt.md,per persona,file,A,persona voice prompt,none,none,persona.schema.json governs manifest,yes (file),partial,none,persona_id,7 personas. No UI to edit.
V054,persona values/argumentation/position_model,tinkuy,persona,data/personas/LENS_*/*.yaml,per persona,structured,A+C,injected into prompt AND used in routing overlap,routing.topics/tensions overlap in select_initial_voice,none,persona.schema.json,yes (file),partial,none,—,HYBRID at asset level.
V055,fabric stage prompts 00-11,tinkuy,fabric_chain,data/fabric/00_…11_*.md,12 files,file,A,each stage is one prompt,none,none,fabric output schemas,yes (file),no,none,—,Only active when V002=raw+fabric.
V056,zarathustra cards,tinkuy,persona_turn,data/corpus/zarathustra/{operations|scenes|constraints|risks}/*.yaml,~30 cards,structured,A,composed into prompt,card selection logic,none,scene_operation_card.schema.json,yes (file),no,none,—,Composition modules not standalone prompts.
V057,prompt body activation policy,whitecrow,all_prompt_nodes,prompt_bodies/activation_policy.yaml,server_manual false / workpack_manual true / auto_run false / review_required true / budget_risk medium,per-prompt overrides,E+F,gates whether prompt may run,execution gating,none,allowed_scopes + output_destination,yes (file),yes,none,—,REFERENCE: this is the ActivationBinding model Tinkuy lacks.
V058,RUNTIME_PROMPT_START/END,whitecrow,all_prompt_nodes,prompt_bodies/bodies/**/*.md + validate_prompt_bodies.py,required exactly once each,marker,F,defines editable region,validator enforces,none,protected block boundary,n/a,yes,none,—,REFERENCE: implemented protected-blocks mechanism.
